country,year,sex,age,suicides_no,population,suicides_rate,contry_year,hdi_for_year,gdp_for_year,gdp_per_capita,generation
Germany,2013,male,15-24 years,391,77270988,8.74,Germany2013,0.915,3.75251E+12,48563,Millenials
Germany,2013,female,35-54 years,808,77270988,6.83,Germany2013,0.915,3.75251E+12,48563,Generation X
Germany,2013,female,25-34 years,188,77270988,3.81,Germany2013,0.915,3.75251E+12,48563,Millenials
Germany,2013,female,15-24 years,111,77270988,2.61,Germany2013,0.915,3.75251E+12,48563,Millenials
Germany,2013,female,5-14 years,12,77270988,0.34,Germany2013,0.915,3.75251E+12,48563,Generation Z
Germany,2013,male,5-14 years,6,77270988,0.16,Germany2013,0.915,3.75251E+12,48563,Generation Z
Germany,2014,male,75+ years,1608,77552369,48.73,Germany2014,0.916,3.89061E+12,50167,Silent
Germany,2014,male,55-74 years,2410,77552369,25.75,Germany2014,0.916,3.89061E+12,50167,Boomers
Germany,2014,male,35-54 years,2444,77552369,20.45,Germany2014,0.916,3.89061E+12,50167,Generation X
Germany,2014,male,25-34 years,750,77552369,14.48,Germany2014,0.916,3.89061E+12,50167,Millenials
Germany,2014,female,75+ years,621,77552369,12.06,Germany2014,0.916,3.89061E+12,50167,Silent
Germany,2014,male,15-24 years,397,77552369,8.92,Germany2014,0.916,3.89061E+12,50167,Millenials
Germany,2014,female,55-74 years,855,77552369,8.54,Germany2014,0.916,3.89061E+12,50167,Boomers
Germany,2014,female,35-54 years,801,77552369,6.83,Germany2014,0.916,3.89061E+12,50167,Generation X
Germany,2014,female,25-34 years,182,77552369,3.64,Germany2014,0.916,3.89061E+12,50167,Millenials
Germany,2014,female,15-24 years,121,77552369,2.87,Germany2014,0.916,3.89061E+12,50167,Millenials
Germany,2014,male,5-14 years,20,77552369,0.54,Germany2014,0.916,3.89061E+12,50167,Generation Z
Germany,2014,female,5-14 years,8,77552369,0.23,Germany2014,0.916,3.89061E+12,50167,Generation Z
Germany,2015,male,75+ years,1729,78136683,49.58,Germany2015,,3.37561E+12,43201,Silent
Germany,2015,male,55-74 years,2304,78136683,24.42,Germany2015,,3.37561E+12,43201,Boomers
Germany,2015,male,35-54 years,2267,78136683,19.12,Germany2015,,3.37561E+12,43201,Generation X
Germany,2015,male,25-34 years,721,78136683,13.51,Germany2015,,3.37561E+12,43201,Millenials
Germany,2015,female,75+ years,635,78136683,11.89,Germany2015,,3.37561E+12,43201,Silent
Germany,2015,female,55-74 years,908,78136683,9.03,Germany2015,,3.37561E+12,43201,Boomers
Germany,2015,male,15-24 years,376,78136683,8.32,Germany2015,,3.37561E+12,43201,Millenials
Germany,2015,female,35-54 years,800,78136683,6.89,Germany2015,,3.37561E+12,43201,Generation X
Germany,2015,female,25-34 years,193,78136683,3.81,Germany2015,,3.37561E+12,43201,Millenials
Germany,2015,female,15-24 years,136,78136683,3.24,Germany2015,,3.37561E+12,43201,Millenials
Germany,2015,female,5-14 years,13,78136683,0.37,Germany2015,,3.37561E+12,43201,Generation Z
Germany,2015,male,5-14 years,6,78136683,0.16,Germany2015,,3.37561E+12,43201,Generation Z
