age;maritalsts;education;balance;hhinsurance;carloan;carinsurance
30;single;secondary;-143;1;0;0
56;single;secondary;-40;1;0;1
42;divorced;secondary;19;0;0;1
42;divorced;secondary;685;1;0;0
37;single;secondary;2235;1;0;0
31;divorced;secondary;-452;1;0;0
47;married;tertiary;-488;1;0;0
39;married;tertiary;0;1;0;1
25;single;secondary;82;0;1;1
61;divorced;primary;3624;0;0;1
28;single;tertiary;437;0;0;1
48;single;secondary;1253;1;0;0
26;single;tertiary;1646;0;0;1
54;single;tertiary;3294;1;0;0
28;divorced;secondary;785;1;0;1
24;single;secondary;23878;0;0;1
29;single;secondary;158;1;0;0
52;divorced;secondary;280;0;0;0
37;married;secondary;121;1;1;0
46;married;secondary;499;1;0;0
29;married;secondary;723;0;1;0
36;single;tertiary;129;0;0;1
53;divorced;secondary;587;0;0;1
56;married;tertiary;3082;1;1;0
51;married;primary;3942;1;0;0
36;married;tertiary;2178;1;0;0
45;married;secondary;3493;1;0;0
51;married;secondary;61;0;1;0
30;married;secondary;-95;1;1;0
26;married;secondary;2005;1;0;0
62;married;primary;1084;0;0;1
37;married;tertiary;630;0;0;1
43;married;tertiary;3518;0;0;1
71;married;tertiary;653;0;0;1
37;married;secondary;474;1;0;0
39;married;secondary;768;1;1;0
34;married;secondary;-436;1;0;0
45;divorced;primary;594;1;0;1
30;married;tertiary;14;0;0;0
30;single;tertiary;2539;0;0;1
32;single;secondary;0;1;0;0
33;married;secondary;255;1;1;0
30;single;secondary;-172;1;1;0
53;married;primary;421;1;0;1
55;single;tertiary;92;1;0;0
44;married;primary;1161;1;0;0
39;married;tertiary;122;0;0;0
31;married;tertiary;430;1;0;0
48;divorced;secondary;2071;0;0;0
46;single;tertiary;2739;0;0;0
31;divorced;tertiary;294;1;0;1
37;single;tertiary;62;1;0;1
49;divorced;tertiary;596;1;0;1
31;married;secondary;2294;0;0;0
32;single;tertiary;654;1;0;1
43;married;secondary;1138;0;0;0
43;married;tertiary;4216;0;0;1
52;married;secondary;167;0;0;0
38;married;primary;3289;0;0;0
28;single;secondary;2351;0;0;1
47;married;primary;206;1;0;0
36;married;secondary;494;1;0;0
34;married;secondary;592;1;0;0
32;married;tertiary;227;0;0;0
33;married;secondary;2858;1;1;0
36;married;tertiary;900;1;0;0
57;single;secondary;5768;1;0;1
44;married;secondary;1326;0;0;0
49;divorced;secondary;0;0;0;1
44;single;tertiary;643;0;0;0
36;single;tertiary;2646;0;0;1
29;single;tertiary;41;1;0;1
45;married;primary;5461;1;0;1
45;married;primary;15515;0;0;0
32;single;tertiary;438;0;0;0
45;married;primary;488;1;0;0
52;married;tertiary;7135;0;0;1
32;single;secondary;-55;1;0;0
49;married;tertiary;403;0;0;0
53;divorced;secondary;281;1;0;0
53;married;secondary;-686;0;1;0
28;single;secondary;313;0;0;1
53;divorced;secondary;36;1;1;1
34;married;primary;503;1;0;0
43;married;secondary;1109;1;0;0
22;single;secondary;1522;0;0;1
55;divorced;tertiary;264;1;0;0
32;married;tertiary;2349;0;0;0
72;single;tertiary;1285;0;0;0
47;married;tertiary;4693;0;1;1
34;married;primary;-288;1;0;0
32;married;tertiary;92;0;0;0
57;divorced;secondary;77;1;1;0
59;married;secondary;163;0;0;0
31;divorced;tertiary;0;0;0;1
43;married;secondary;2271;0;0;1
47;married;secondary;458;0;0;0
42;single;secondary;625;0;0;1
29;single;tertiary;1170;0;0;1
33;single;primary;785;1;0;0
30;single;secondary;387;1;0;0
45;married;secondary;1134;0;1;0
42;married;tertiary;576;0;0;1
26;single;tertiary;1140;1;0;1
27;single;secondary;2486;1;0;1
58;married;secondary;307;0;0;0
51;divorced;secondary;21;0;0;0
44;married;secondary;-627;1;0;0
50;divorced;secondary;363;1;0;1
31;divorced;primary;459;1;0;1
40;married;tertiary;271;1;0;0
46;married;secondary;131;1;0;0
45;married;secondary;383;0;0;0
41;married;secondary;121;1;0;0
33;married;secondary;386;0;0;1
40;married;primary;1841;1;0;1
58;married;secondary;826;0;0;1
42;married;secondary;1289;0;0;1
35;married;primary;-229;1;0;0
49;married;secondary;2116;0;0;0
26;single;secondary;127;1;1;0
29;single;tertiary;0;0;0;0
38;married;tertiary;3234;0;0;1
51;married;secondary;0;1;0;0
60;married;tertiary;3401;0;0;1
28;single;tertiary;386;0;0;1
35;single;tertiary;1129;1;0;0
35;single;secondary;196;1;0;0
52;married;primary;994;0;0;0
47;married;secondary;2524;0;0;1
27;single;secondary;41;1;1;0
35;single;tertiary;0;0;0;1
40;married;tertiary;226;1;0;0
35;married;tertiary;1987;0;0;0
30;single;primary;163;0;0;0
42;married;secondary;-274;1;0;0
48;divorced;tertiary;-130;1;0;0
47;married;secondary;2524;1;0;0
80;married;primary;1021;0;0;0
36;married;tertiary;3949;0;0;1
58;married;secondary;32948;0;0;0
30;single;secondary;315;1;0;1
26;married;tertiary;144;0;1;0
59;married;tertiary;2319;1;0;0
39;single;tertiary;23;0;0;0
56;married;tertiary;2333;0;0;1
38;single;tertiary;508;1;1;1
29;married;tertiary;3037;1;0;0
44;married;secondary;2979;1;0;0
31;married;tertiary;1197;1;0;0
38;married;primary;5839;1;0;1
40;married;secondary;72;1;0;0
34;married;primary;7279;1;0;1
51;married;secondary;313;0;1;0
59;married;secondary;25947;0;0;0
23;single;secondary;431;0;0;1
45;married;tertiary;849;0;0;0
62;married;secondary;1495;0;0;1
42;married;tertiary;849;0;0;0
39;married;secondary;-931;1;0;0
36;divorced;secondary;82;1;0;0
57;married;primary;2785;0;0;1
58;divorced;secondary;1947;0;0;1
45;married;primary;-485;1;0;0
49;divorced;tertiary;1807;1;0;1
61;married;secondary;938;0;0;1
39;married;secondary;2245;0;0;1
36;single;tertiary;1240;0;0;1
34;married;tertiary;611;0;0;1
33;married;primary;35;0;0;0
29;single;secondary;523;0;0;0
31;single;tertiary;882;0;0;1
37;married;primary;655;1;0;0
36;married;primary;413;1;0;0
73;divorced;primary;2308;0;0;1
44;married;secondary;1422;1;0;0
27;married;tertiary;802;0;0;1
29;divorced;secondary;0;0;0;0
37;married;secondary;1967;0;0;1
34;married;tertiary;519;0;0;0
49;single;tertiary;7443;0;0;1
32;single;secondary;3297;0;0;0
30;single;tertiary;30;0;0;0
48;married;secondary;794;0;0;0
50;married;secondary;74;1;1;0
25;single;secondary;203;0;0;0
32;married;primary;163;0;0;0
31;single;tertiary;1815;0;0;0
36;married;secondary;6290;1;0;0
25;single;secondary;2354;0;1;0
34;married;primary;3527;1;0;1
57;divorced;tertiary;6468;1;0;0
73;divorced;tertiary;3203;0;0;1
29;single;tertiary;502;0;0;1
32;married;tertiary;11591;1;0;0
38;married;secondary;-278;1;0;0
52;divorced;tertiary;-309;1;0;1
34;single;tertiary;7263;1;0;0
58;married;secondary;602;1;0;0
36;married;tertiary;7343;0;0;0
38;married;tertiary;1988;0;0;1
32;married;tertiary;57;0;0;0
37;married;secondary;1978;0;0;1
29;single;secondary;-219;1;0;0
37;married;primary;1506;0;0;0
59;married;tertiary;3342;0;0;1
32;married;tertiary;210;0;0;0
36;married;tertiary;495;0;0;1
29;married;secondary;182;1;0;0
44;single;tertiary;1424;1;0;0
33;married;secondary;-122;0;0;0
43;married;secondary;104;1;0;1
32;married;tertiary;302;1;1;1
42;divorced;tertiary;5037;0;0;0
27;single;tertiary;37;1;0;0
35;single;tertiary;80;0;0;1
54;married;tertiary;154;0;0;0
73;married;tertiary;448;0;0;0
34;married;secondary;-259;1;0;0
31;single;tertiary;0;0;0;0
25;single;secondary;505;0;1;1
43;married;primary;-476;1;0;0
52;married;secondary;1405;0;1;1
42;single;secondary;50;0;0;0
37;married;secondary;103;1;0;0
36;married;secondary;1368;0;0;1
64;married;secondary;2031;0;0;0
40;married;primary;407;1;0;0
41;divorced;tertiary;846;0;1;0
35;single;secondary;1693;1;0;1
29;single;secondary;3466;0;0;1
38;married;secondary;134;0;0;0
41;married;secondary;167;0;0;0
22;single;secondary;2488;0;0;1
58;married;secondary;1625;0;0;1
50;married;primary;12519;1;0;1
34;single;secondary;-96;1;0;0
41;married;primary;510;0;0;0
47;married;secondary;726;0;0;0
54;married;secondary;473;0;1;0
35;married;secondary;150;0;0;0
40;married;tertiary;0;0;0;0
28;single;secondary;5679;1;0;1
52;married;tertiary;1065;1;1;0
48;married;secondary;1730;1;0;1
55;divorced;primary;77;0;0;1
32;married;secondary;169;1;0;0
40;married;primary;-108;1;0;0
35;married;secondary;503;1;1;0
29;single;tertiary;415;0;0;0
30;divorced;tertiary;415;1;1;1
36;single;secondary;74;1;1;0
34;married;primary;-106;1;0;0
60;married;primary;0;0;0;1
50;divorced;primary;149;1;0;0
25;single;secondary;1747;1;0;1
27;married;secondary;484;1;0;0
43;divorced;secondary;4478;1;0;0
55;married;tertiary;0;0;0;0
37;married;secondary;345;1;1;0
58;married;primary;76;1;0;0
34;single;tertiary;2733;0;0;1
32;single;secondary;1649;0;0;0
29;single;secondary;464;0;0;1
70;divorced;secondary;6850;0;0;0
42;married;secondary;16517;0;0;0
33;single;tertiary;4176;0;0;1
45;married;tertiary;3689;1;0;0
39;divorced;tertiary;-999;1;0;0
51;married;primary;541;0;0;1
22;single;secondary;120;0;0;0
38;married;primary;175;0;0;0
51;married;secondary;7180;1;0;1
30;single;secondary;732;0;0;1
38;divorced;secondary;19;1;0;1
42;married;secondary;1376;1;0;1
24;single;secondary;822;0;0;1
34;single;secondary;-200;0;1;0
55;divorced;secondary;35;1;0;0
39;married;primary;568;1;0;0
51;married;secondary;684;1;0;0
23;single;secondary;91;1;0;0
31;married;secondary;367;0;0;0
36;divorced;secondary;69;1;0;0
37;married;tertiary;9269;1;1;0
30;single;tertiary;5359;0;0;1
38;married;secondary;1767;1;0;1
32;single;tertiary;-34;1;0;1
32;single;tertiary;41;0;0;1
53;married;primary;1138;1;0;0
32;married;secondary;897;1;0;0
27;married;secondary;511;1;0;0
34;married;tertiary;589;0;0;1
27;single;primary;497;1;0;0
27;single;tertiary;118;0;0;0
24;single;secondary;-73;1;0;0
56;married;secondary;1093;0;0;0
63;divorced;tertiary;0;0;0;1
32;single;tertiary;0;0;0;0
46;married;tertiary;273;1;0;1
35;married;secondary;0;0;0;0
47;married;secondary;407;1;0;0
45;married;tertiary;377;1;0;1
31;married;secondary;0;0;0;0
32;single;secondary;-23;0;0;0
34;married;secondary;0;1;0;0
46;married;tertiary;11385;0;0;1
32;single;tertiary;5514;0;0;1
27;married;secondary;897;0;0;1
31;single;tertiary;533;0;0;1
31;married;secondary;335;1;0;0
37;married;secondary;4769;0;0;0
29;married;secondary;2312;1;0;0
29;married;secondary;1175;1;1;0
45;married;secondary;-406;1;1;0
57;married;secondary;403;1;0;1
39;divorced;tertiary;3;0;0;1
26;single;secondary;8015;0;0;0
48;married;secondary;50;0;1;1
54;married;secondary;4080;0;0;0
37;married;tertiary;88;0;0;1
31;married;secondary;1173;1;0;1
39;married;secondary;2198;0;0;0
35;married;secondary;13;0;0;0
35;single;tertiary;4294;0;0;0
31;married;tertiary;917;1;0;0
57;married;secondary;4168;1;1;0
41;married;tertiary;2767;0;0;0
55;married;secondary;139;0;0;1
38;divorced;secondary;485;1;0;0
32;single;secondary;226;1;0;0
39;single;tertiary;11971;1;0;0
42;married;secondary;300;1;0;0
75;divorced;primary;37127;0;0;0
48;married;secondary;36686;0;0;0
38;married;tertiary;1722;1;0;1
46;single;tertiary;628;0;0;0
35;single;tertiary;353;0;0;1
33;single;tertiary;119;0;1;0
45;married;secondary;-75;1;0;0
56;married;tertiary;171;0;1;0
36;married;tertiary;255;0;0;1
35;single;secondary;510;1;0;0
41;married;secondary;2823;1;0;1
52;married;primary;1524;0;0;1
34;married;secondary;1454;1;0;1
31;married;secondary;1664;1;0;0
64;married;tertiary;661;0;0;1
46;married;tertiary;0;0;0;1
69;married;tertiary;482;0;0;1
32;married;tertiary;6138;0;0;1
44;married;secondary;11972;0;0;0
57;married;tertiary;334;1;0;0
27;single;secondary;1347;0;0;1
39;divorced;secondary;-271;1;0;0
30;married;secondary;503;1;0;0
33;married;tertiary;570;0;0;0
30;married;secondary;475;0;0;0
31;married;tertiary;120;0;0;1
58;married;secondary;37;0;0;0
24;single;secondary;82;1;0;0
39;married;secondary;2266;0;0;1
32;single;tertiary;1855;0;0;1
29;single;secondary;163;1;1;1
47;divorced;tertiary;178;0;0;0
43;married;secondary;0;1;1;0
38;married;primary;1401;0;0;1
38;married;secondary;922;1;1;0
53;married;secondary;137;0;1;0
65;married;secondary;1624;0;0;0
33;married;secondary;-370;1;0;1
51;divorced;secondary;9;0;0;1
45;single;tertiary;4831;0;0;1
34;married;secondary;1337;0;0;1
41;single;tertiary;982;0;0;0
36;married;tertiary;2012;0;0;0
31;married;secondary;28;0;0;0
30;single;tertiary;364;0;0;1
28;single;primary;2340;1;0;0
36;divorced;secondary;0;1;0;0
31;married;primary;3283;1;0;0
37;married;secondary;408;1;0;0
48;single;secondary;580;1;0;0
32;single;tertiary;2613;0;0;0
40;divorced;secondary;-426;0;1;0
47;married;tertiary;1115;1;0;0
32;married;secondary;4885;1;1;0
57;married;primary;0;1;0;0
63;married;tertiary;5112;0;0;1
40;single;tertiary;7968;0;0;1
37;married;secondary;604;1;0;1
28;single;tertiary;4987;0;0;1
42;married;primary;1978;1;0;0
61;married;secondary;3114;0;0;1
40;single;secondary;5;0;1;0
28;married;secondary;948;1;0;0
49;married;tertiary;2139;0;0;0
53;divorced;primary;-291;1;1;1
33;married;secondary;114;0;1;1
33;married;tertiary;4570;0;0;1
57;married;primary;625;0;1;1
34;married;secondary;559;1;0;0
42;married;tertiary;294;0;0;1
59;married;tertiary;474;0;0;1
32;single;tertiary;1047;1;0;0
46;married;secondary;668;1;0;1
28;married;tertiary;0;1;0;1
48;married;secondary;1199;1;0;0
46;single;tertiary;44;0;0;1
52;married;tertiary;583;0;0;1
23;single;secondary;31;0;0;1
52;married;tertiary;3163;0;0;0
43;married;secondary;642;0;0;0
30;married;secondary;309;1;0;1
40;married;tertiary;-117;1;0;0
36;single;secondary;98;0;0;1
44;married;tertiary;677;1;0;0
37;married;secondary;11303;0;0;0
21;single;primary;1596;0;0;0
44;married;secondary;13761;1;0;0
31;single;secondary;1088;1;0;1
49;married;tertiary;2611;0;0;1
30;single;secondary;631;1;0;0
44;married;primary;503;1;0;0
34;married;secondary;21;0;0;0
71;married;secondary;2850;0;0;1
37;single;secondary;5436;1;0;0
28;married;secondary;330;0;0;1
28;single;tertiary;-227;1;0;0
40;married;secondary;1538;1;0;0
33;married;tertiary;2098;0;0;0
46;married;secondary;119;0;1;0
42;single;tertiary;3445;0;0;0
55;married;secondary;55;0;1;0
36;single;tertiary;-103;1;1;1
28;single;tertiary;441;0;0;0
33;married;secondary;620;0;0;0
35;divorced;tertiary;2885;0;0;1
47;married;secondary;-216;1;0;0
34;married;tertiary;0;1;0;1
39;single;tertiary;1457;1;0;0
53;married;primary;5603;0;0;1
27;single;secondary;44;0;0;0
36;married;secondary;632;1;0;0
51;married;tertiary;150;0;0;0
30;single;secondary;0;0;0;0
33;single;tertiary;3770;0;0;0
33;single;tertiary;61;0;0;1
33;single;tertiary;658;1;0;1
30;single;secondary;61;0;1;0
29;married;secondary;87;1;0;0
37;married;secondary;1776;1;1;0
49;divorced;secondary;333;1;0;0
28;single;tertiary;866;0;0;1
56;married;tertiary;616;0;0;1
53;married;primary;1869;0;0;0
36;married;tertiary;301;1;0;0
43;married;secondary;308;1;0;0
60;divorced;secondary;-41;1;1;1
34;married;secondary;159;1;0;1
40;single;tertiary;1616;0;0;1
59;married;primary;6;0;0;0
34;single;secondary;1866;0;0;0
34;married;primary;2490;1;0;0
48;married;tertiary;0;1;0;0
29;married;secondary;273;0;0;1
43;married;tertiary;11532;1;0;0
33;married;secondary;207;1;0;1
29;single;secondary;32;1;0;1
33;married;tertiary;-148;1;1;0
77;married;secondary;4112;0;0;1
40;married;primary;1758;1;0;1
72;married;tertiary;0;0;0;1
29;single;tertiary;455;0;0;1
52;married;secondary;-732;1;1;0
40;married;secondary;2266;0;0;1
31;single;secondary;1510;1;0;0
43;married;tertiary;2643;0;0;1
70;married;primary;2795;0;0;1
26;single;tertiary;313;0;1;1
30;married;primary;124;1;0;0
32;married;tertiary;2976;1;0;1
61;married;tertiary;267;0;0;1
41;single;secondary;1085;1;1;1
56;single;secondary;663;0;1;1
43;divorced;secondary;1612;0;0;1
31;single;secondary;388;0;0;0
29;married;secondary;2326;0;0;1
28;single;tertiary;390;0;0;1
59;divorced;secondary;23;0;0;0
32;single;secondary;2881;0;0;1
19;single;secondary;329;0;0;1
34;single;tertiary;395;1;0;0
63;married;secondary;474;0;0;1
37;divorced;secondary;-165;1;0;0
30;single;secondary;1499;0;0;0
56;married;secondary;2750;0;0;0
31;married;tertiary;827;0;0;0
21;single;secondary;-59;1;1;0
46;divorced;tertiary;624;0;0;1
37;married;secondary;2128;0;0;0
60;married;secondary;938;0;0;1
49;divorced;secondary;57;0;0;0
68;married;secondary;1443;0;0;1
39;married;tertiary;2763;1;0;1
36;married;secondary;39;1;0;0
31;married;secondary;152;1;1;1
58;married;primary;2387;0;0;0
39;divorced;secondary;458;0;0;0
36;married;tertiary;4596;1;0;1
39;married;secondary;656;0;0;0
52;married;primary;9444;0;0;0
41;single;secondary;812;0;1;1
42;divorced;tertiary;1775;1;0;0
24;single;secondary;382;0;0;1
33;divorced;tertiary;2695;1;0;0
31;married;tertiary;6562;1;0;0
46;married;tertiary;2199;0;0;0
44;married;secondary;78;1;0;0
31;single;secondary;-205;0;0;1
43;divorced;secondary;773;1;0;0
45;married;tertiary;1866;0;0;0
77;married;primary;1385;0;0;0
51;married;secondary;814;1;0;0
60;divorced;secondary;0;1;0;0
29;single;secondary;345;0;0;0
47;married;tertiary;1707;0;0;0
56;married;primary;314;1;1;0
59;married;tertiary;-91;0;0;0
87;divorced;primary;6746;0;0;1
35;married;primary;0;1;1;0
47;married;primary;4227;1;0;1
47;married;primary;6;0;0;0
53;married;tertiary;235;0;0;0
49;married;primary;327;1;0;0
36;married;tertiary;521;0;1;0
31;married;secondary;1229;0;0;1
38;married;secondary;0;1;1;0
28;single;secondary;1347;0;0;0
41;married;tertiary;-412;1;0;0
25;single;tertiary;3630;0;0;1
35;divorced;secondary;437;1;0;1
29;married;tertiary;198;1;0;0
41;married;secondary;-18;1;1;0
19;single;primary;245;0;0;0
41;married;primary;0;0;0;1
47;married;primary;159;1;0;0
42;married;tertiary;6060;1;0;1
55;single;tertiary;430;0;0;0
37;divorced;tertiary;1775;0;0;1
30;single;tertiary;7513;0;0;0
31;married;tertiary;140;0;0;0
34;single;secondary;-369;1;0;0
45;married;secondary;2403;0;0;0
54;divorced;tertiary;0;0;0;1
50;married;secondary;1400;1;0;0
27;single;secondary;1187;0;0;1
70;married;secondary;616;0;0;0
35;married;tertiary;690;0;0;0
58;married;secondary;496;0;0;1
58;divorced;secondary;1080;1;0;1
50;married;secondary;1234;1;0;0
29;single;secondary;1472;0;0;0
30;married;tertiary;1882;1;0;0
44;single;secondary;733;1;0;1
45;married;tertiary;876;0;0;0
53;single;primary;354;1;0;0
31;single;tertiary;999;1;0;0
30;married;secondary;1;0;1;0
28;single;tertiary;0;0;0;0
50;married;secondary;0;0;0;0
29;single;tertiary;428;0;0;1
34;single;tertiary;699;0;0;0
44;married;tertiary;1138;0;0;1
31;single;tertiary;0;0;0;0
50;divorced;secondary;636;1;0;0
43;married;secondary;-236;1;0;1
80;married;primary;997;0;0;1
75;married;tertiary;2991;0;0;1
42;married;primary;5310;1;0;1
35;single;tertiary;0;0;0;1
31;single;secondary;205;1;0;0
52;divorced;tertiary;2104;0;0;1
55;married;primary;842;0;0;0
75;married;primary;1413;0;0;1
52;single;secondary;36;1;0;0
43;married;tertiary;79;0;0;1
51;married;secondary;500;0;0;0
27;single;secondary;100;1;0;0
47;married;primary;673;1;1;0
36;married;secondary;96;0;0;1
33;single;secondary;278;0;0;1
29;married;secondary;425;1;0;1
43;single;secondary;318;1;0;1
53;married;secondary;1796;0;0;1
38;married;secondary;532;1;0;0
31;single;tertiary;17924;1;0;0
47;married;primary;145;1;0;0
44;married;secondary;1074;1;0;1
37;married;secondary;780;1;0;0
31;single;tertiary;816;1;0;0
32;single;secondary;930;1;0;0
42;single;tertiary;0;1;1;1
29;married;secondary;30;1;0;0
59;married;primary;252;1;1;0
35;single;secondary;204;1;0;0
39;single;tertiary;54;1;0;0
41;married;tertiary;0;1;0;1
83;divorced;primary;46;0;0;1
33;married;secondary;1499;1;0;0
36;single;secondary;1414;1;0;0
35;married;primary;414;0;0;1
46;married;tertiary;-267;0;0;0
31;married;secondary;2577;1;0;0
49;divorced;secondary;2908;0;0;0
50;single;secondary;167;0;1;0
45;married;tertiary;80;0;1;0
26;single;secondary;3676;0;0;1
52;married;primary;134;1;0;0
30;single;secondary;237;0;0;0
57;married;tertiary;-92;1;1;1
48;divorced;secondary;201;0;0;1
49;married;primary;640;0;0;0
39;single;tertiary;393;0;0;1
27;single;tertiary;311;0;0;1
47;married;tertiary;0;1;0;0
36;single;secondary;168;1;0;0
39;married;secondary;462;1;0;1
49;married;secondary;884;1;0;0
58;married;primary;9200;0;0;0
49;divorced;primary;164;1;0;0
23;single;secondary;488;0;0;1
32;married;secondary;-173;1;0;0
29;single;tertiary;48;1;0;0
57;married;secondary;1521;1;1;0
31;married;primary;2198;0;0;0
47;married;secondary;335;0;0;1
75;divorced;primary;852;0;0;0
42;divorced;secondary;-78;1;1;0
33;divorced;secondary;273;1;0;0
67;married;tertiary;701;0;0;1
47;single;primary;10558;1;0;0
42;married;tertiary;4;1;0;1
37;divorced;secondary;4965;0;0;0
44;divorced;tertiary;2237;1;0;0
39;married;secondary;4101;1;0;1
23;single;tertiary;1129;1;0;1
31;single;tertiary;130;0;0;0
47;married;secondary;306;1;0;0
27;married;secondary;0;1;1;0
40;married;secondary;1836;1;0;1
41;married;tertiary;10758;1;0;0
25;single;tertiary;1734;0;0;0
63;married;secondary;973;0;0;1
25;single;secondary;9154;1;0;0
58;married;secondary;381;0;0;0
44;married;primary;4389;0;0;0
22;single;secondary;54;1;1;0
49;married;secondary;99;1;0;1
40;single;tertiary;27;0;0;1
57;married;primary;3288;0;0;0
57;divorced;tertiary;6468;1;0;1
37;divorced;tertiary;168;1;0;0
55;divorced;secondary;1553;0;0;0
60;single;primary;11262;0;0;1
26;single;tertiary;0;0;1;1
47;divorced;secondary;1851;1;0;0
35;married;tertiary;2427;0;0;1
32;married;secondary;390;0;0;1
25;single;tertiary;40;0;0;0
47;divorced;secondary;47;0;0;0
30;married;tertiary;7;1;0;1
33;married;secondary;1330;1;0;0
26;married;secondary;697;1;0;0
44;married;secondary;-199;0;0;0
49;married;primary;23;1;0;0
31;single;secondary;2544;0;0;1
33;married;secondary;6699;0;0;0
43;divorced;tertiary;2367;0;0;1
27;married;secondary;293;1;0;0
37;married;tertiary;165;0;0;0
54;married;tertiary;0;0;0;0
50;married;secondary;156;0;1;1
62;married;secondary;1495;0;0;1
38;married;secondary;607;1;0;0
33;divorced;secondary;801;0;0;1
40;married;tertiary;0;0;0;1
43;married;secondary;3723;1;0;0
45;married;secondary;446;0;0;1
56;single;primary;39;1;0;0
31;single;secondary;0;0;0;0
47;married;secondary;846;1;0;0
36;married;secondary;594;0;1;0
49;married;secondary;3570;0;0;0
45;married;secondary;-839;1;0;0
23;single;secondary;-503;1;0;0
43;divorced;secondary;1854;0;0;1
58;married;tertiary;136;1;0;0
37;single;secondary;6714;1;0;0
52;divorced;primary;-57;1;0;0
55;married;secondary;697;1;0;0
49;married;secondary;320;0;0;1
43;married;secondary;136;0;0;1
40;married;tertiary;0;1;0;1
25;single;tertiary;253;0;0;1
30;married;secondary;1660;1;0;0
29;single;tertiary;0;0;0;0
37;married;tertiary;203;0;0;1
29;single;secondary;590;0;0;1
39;single;secondary;0;0;0;1
21;single;secondary;2265;0;0;1
29;single;secondary;70;1;1;0
33;married;tertiary;0;1;1;0
64;married;primary;43;0;0;1
38;divorced;secondary;216;0;0;0
32;married;secondary;0;1;0;1
35;married;tertiary;94;0;0;0
39;married;secondary;804;1;0;0
36;single;primary;3214;1;0;0
53;divorced;primary;1480;1;0;0
44;married;tertiary;0;1;0;0
33;married;secondary;0;1;1;0
25;single;secondary;3217;1;0;0
39;married;secondary;2783;1;0;0
37;married;secondary;0;0;0;0
50;married;tertiary;4374;1;0;0
30;single;secondary;183;1;0;1
49;divorced;tertiary;1115;0;0;0
40;single;tertiary;1361;0;0;1
39;married;secondary;1034;1;0;0
32;single;secondary;674;1;1;0
27;single;secondary;3145;0;0;1
42;married;tertiary;356;0;0;0
57;married;primary;3518;1;0;1
39;divorced;secondary;0;1;0;0
24;married;secondary;984;1;0;0
33;single;secondary;0;1;0;0
32;married;secondary;696;1;0;1
41;divorced;tertiary;285;0;1;0
57;divorced;tertiary;96;0;0;1
33;married;primary;2;1;1;0
32;single;tertiary;1160;1;1;0
35;single;secondary;219;1;1;0
33;married;tertiary;22867;1;0;1
56;divorced;primary;0;1;0;0
58;married;secondary;145;1;0;1
31;single;tertiary;252;0;0;1
30;single;tertiary;1761;1;0;0
49;single;tertiary;228;1;0;1
55;married;secondary;356;0;0;0
27;married;secondary;2071;0;0;1
42;divorced;tertiary;21;1;0;0
36;divorced;tertiary;0;0;0;0
49;single;tertiary;228;1;0;1
27;single;secondary;353;1;0;1
31;married;primary;-184;1;0;0
46;married;secondary;271;1;0;1
38;divorced;tertiary;4692;1;0;1
61;divorced;tertiary;6;1;0;1
41;married;secondary;862;0;0;0
28;married;secondary;4287;0;0;0
40;single;secondary;5637;1;0;1
48;married;tertiary;0;0;1;1
50;married;tertiary;247;0;0;0
32;single;secondary;400;0;0;1
45;divorced;secondary;440;0;0;0
43;single;secondary;59;1;0;0
36;married;secondary;1245;1;0;0
46;married;secondary;123;0;0;0
21;single;secondary;820;1;0;0
57;married;secondary;2;0;0;0
30;single;tertiary;228;1;0;1
37;single;secondary;-22;1;0;1
36;single;tertiary;1804;0;0;0
29;married;secondary;291;1;0;0
31;single;tertiary;-405;1;1;1
40;married;primary;-45;0;1;0
52;divorced;tertiary;3;0;0;0
36;married;secondary;0;1;0;0
39;married;tertiary;285;1;0;1
33;married;tertiary;148;0;0;0
47;married;secondary;1219;0;0;1
47;married;primary;235;0;0;1
38;married;secondary;70;0;1;0
43;divorced;tertiary;443;1;0;0
58;married;secondary;3027;1;0;1
39;married;primary;1601;1;0;0
50;married;tertiary;332;1;0;0
22;single;secondary;114;0;0;1
39;married;primary;12848;1;0;0
34;married;tertiary;0;0;0;1
41;married;tertiary;1272;1;0;0
57;married;tertiary;6822;0;0;1
52;married;tertiary;1295;1;0;0
27;single;secondary;924;1;0;0
35;married;secondary;18;1;1;0
31;single;tertiary;55;0;0;0
39;married;secondary;116;0;0;1
49;married;primary;518;1;0;0
26;single;secondary;622;0;0;1
45;single;tertiary;2033;0;0;1
36;married;tertiary;408;0;0;0
31;married;secondary;0;0;0;0
55;married;tertiary;22;0;1;0
41;married;tertiary;27696;0;0;1
27;married;tertiary;2855;0;0;1
34;single;secondary;2729;1;0;1
42;married;secondary;613;1;0;0
40;married;tertiary;4539;0;0;1
29;married;tertiary;238;0;0;1
35;single;primary;1147;1;1;0
33;married;tertiary;812;0;0;0
28;married;tertiary;3;1;0;0
45;married;primary;-407;1;1;0
28;single;secondary;296;1;0;0
57;married;secondary;2464;0;0;0
49;single;secondary;293;0;0;1
31;single;secondary;622;0;0;0
36;single;secondary;787;0;0;0
30;married;secondary;1222;1;0;0
50;married;secondary;3654;0;0;1
31;single;secondary;5547;1;0;0
32;married;primary;1644;0;0;1
42;divorced;secondary;314;1;0;1
38;married;tertiary;613;0;0;1
45;married;secondary;976;1;0;0
